@relation 'Projet_de_données_Éco-DataLab (3)-weka.filters.unsupervised.attribute.AddExpression-E2026-A3-Nexpression-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.RenameAttribute-find([\\s\\S]+)-replaceage-R9-weka.filters.unsupervised.attribute.AddExpression-Eifelse(A2=1|A2=3|A2=7|A2=15|A2=26|A2=38,1,ifelse(A2=2,2,ifelse(A2=4|A2=5|A2=6|A2=13,3,ifelse(A2=8|A2=10,4,ifelse(A2=9|A2=11|A2=12|A2=30|A2=31|A2=32|A2=34,5,ifelse(A2=14|A2=27,6,ifelse(A2=16|A2=17|A2=19|A2=23|A2=24|A2=33|A2=40,7,ifelse(A2=18|A2=28|A2=36|A2=37,8,ifelse(A2=20,9,ifelse(A2=21|A2=25|A2=39,10,ifelse(A2=22|A2=29|A2=35,11,12)))))))))))-Nregion-weka.filters.unsupervised.attribute.NumericToNominal-R10-weka.filters.unsupervised.attribute.RenameNominalValues-R10-N1:Auvergne-Rhone-Alpes,2:Hauts-de-France,3:Provence-Alpes-Cote-d-Azur,4:Grand-Est,5:Occitanie,6:Normandie,7:Nouvelle-Aquitaine,8:Centre-Val-de-Loire,9:Corse,10:Bourgogne-Franche-Comte,11:Bretagne,12:Autre-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.NumericToBinary-R7-weka.filters.unsupervised.attribute.AddExpression-E0.0-NA3/A1-weka.filters.unsupervised.attribute.AddExpression-EA3/A1-Nratio-weka.filters.unsupervised.attribute.Remove-R10-weka.filters.unsupervised.attribute.AddExpression-E(A3 / A2) / A1-Npaiement_revenu_proportion-weka.filters.unsupervised.attribute.NumericToBinary-R4-weka.filters.unsupervised.attribute.NumericToBinary-R6-weka.filters.unsupervised.attribute.Remove-R11'

@attribute revenu numeric
@attribute duree numeric
@attribute montcred numeric
@attribute situfam_binarized {0,1}
@attribute ancienn numeric
@attribute cb_binarized {0,1}
@attribute incident_binarized {0,1}
@attribute age numeric
@attribute region {Auvergne-Rhone-Alpes,Hauts-de-France,Provence-Alpes-Cote-d-Azur,Grand-Est,Occitanie,Normandie,Nouvelle-Aquitaine,Centre-Val-de-Loire,Corse,Bourgogne-Franche-Comte,Bretagne}
@attribute ratio numeric

@data
1331.011995,7,1331,0,12,1,0,35,Auvergne-Rhone-Alpes,0.999991
4373.263867,15,8746,1,5,1,0,35,Auvergne-Rhone-Alpes,1.999879
713.239804,7,1426,0,11,1,0,33,Auvergne-Rhone-Alpes,1.999328
1661.045548,18,1661,1,11,1,0,32,Auvergne-Rhone-Alpes,0.999973
5177.258866,15,5177,1,5,0,0,27,Auvergne-Rhone-Alpes,0.99995
2299.513562,18,2299,1,1,1,0,25,Auvergne-Rhone-Alpes,0.999777
2864.847163,14,2864,1,1,0,0,23,Auvergne-Rhone-Alpes,0.999704
2403.558823,12,4807,1,1,1,0,22,Auvergne-Rhone-Alpes,1.999951
4712.694202,7,9425,1,1,0,1,20,Auvergne-Rhone-Alpes,1.999918
5214.718686,11,5214,1,1,1,0,18,Auvergne-Rhone-Alpes,0.999862
1605.738737,6,1605,1,59,1,0,89,Hauts-de-France,0.99954
971.947753,12,1943,0,58,1,1,86,Hauts-de-France,1.999079
442.019297,9,884,0,59,0,0,85,Hauts-de-France,1.999913
2381.333861,14,4762,1,53,1,1,84,Hauts-de-France,1.99972
1487.334535,10,2974,1,53,1,0,81,Hauts-de-France,1.99955
1619.464429,12,1619,1,56,1,0,79,Hauts-de-France,0.999713
2711.490191,15,2711,1,48,1,0,76,Hauts-de-France,0.999819
1970.314983,9,3940,1,55,1,0,74,Hauts-de-France,1.99968
797.682819,7,1595,0,43,0,0,71,Hauts-de-France,1.999542
744.298758,8,1488,0,44,0,0,71,Hauts-de-France,1.999197
696.453426,10,1392,0,41,1,1,70,Hauts-de-France,1.998698
5300.613496,9,10601,1,48,1,1,69,Hauts-de-France,1.999957
808.394308,17,1616,0,34,1,1,68,Hauts-de-France,1.999024
2154.45728,13,2154,1,45,1,0,68,Hauts-de-France,0.999788
4024.789818,9,4024,1,43,1,0,63,Hauts-de-France,0.999804
845.534461,15,845,0,44,1,0,63,Hauts-de-France,0.999368
1947.425646,13,3894,1,27,1,1,61,Hauts-de-France,1.999563
703.288689,14,1406,0,29,0,0,56,Hauts-de-France,1.999179
504.148969,9,504,0,30,1,0,50,Hauts-de-France,0.999705
425.600646,9,425,0,21,0,0,49,Hauts-de-France,0.998589
1019.531011,9,1019,0,16,1,0,47,Hauts-de-France,0.999479
3052.329915,15,3052,1,17,1,0,45,Hauts-de-France,0.999892
530.651802,12,1061,0,22,1,0,43,Hauts-de-France,1.999428
1203.301751,18,2406,0,19,1,1,41,Hauts-de-France,1.999498
411.374148,15,822,0,1,0,1,34,Hauts-de-France,1.998181
1976.558148,10,1976,1,10,0,0,32,Hauts-de-France,0.999718
496.000621,13,496,0,3,0,0,26,Hauts-de-France,0.999999
4590.896415,6,9181,1,1,0,0,19,Hauts-de-France,1.999827
1300.637982,15,2601,0,1,0,0,18,Hauts-de-France,1.999788
1781.641325,9,3563,1,1,0,0,18,Hauts-de-France,1.999841
4449.597791,10,8899,1,73,1,1,92,Auvergne-Rhone-Alpes,1.999956
1566.497482,18,1566,1,60,1,0,86,Auvergne-Rhone-Alpes,0.999682
669.135936,11,1338,0,54,0,0,82,Auvergne-Rhone-Alpes,1.999594
655.625612,17,655,0,57,1,0,77,Auvergne-Rhone-Alpes,0.999046
712.636956,8,1425,0,38,0,0,71,Auvergne-Rhone-Alpes,1.999616
1292.105496,11,1292,0,49,1,1,71,Auvergne-Rhone-Alpes,0.999918
607.970539,8,607,0,48,1,0,70,Auvergne-Rhone-Alpes,0.998404
1341.00401,11,2682,0,38,1,0,69,Auvergne-Rhone-Alpes,1.999994
1606.353867,15,1606,1,37,1,0,63,Auvergne-Rhone-Alpes,0.99978
1598.818819,18,1598,1,43,1,0,63,Auvergne-Rhone-Alpes,0.999488
3082.525253,14,6165,1,30,1,0,61,Auvergne-Rhone-Alpes,1.999984
5034.666667,13,5034,1,32,1,0,56,Auvergne-Rhone-Alpes,0.999868
2451.799874,17,4903,1,28,1,1,56,Auvergne-Rhone-Alpes,1.999755
1041.18324,17,1041,0,24,1,0,53,Auvergne-Rhone-Alpes,0.999824
512.694152,12,512,0,30,0,0,53,Auvergne-Rhone-Alpes,0.998646
5229.830852,7,10459,1,22,1,1,52,Auvergne-Rhone-Alpes,1.999873
3136.364997,12,3136,1,21,1,0,52,Auvergne-Rhone-Alpes,0.999884
1003.83253,7,1003,0,28,1,0,48,Auvergne-Rhone-Alpes,0.999171
859.505463,18,1719,0,18,1,1,43,Auvergne-Rhone-Alpes,1.999987
2408.950357,14,2408,1,20,1,0,40,Auvergne-Rhone-Alpes,0.999605
1908.901565,8,3817,1,2,1,0,36,Auvergne-Rhone-Alpes,1.999579
8286.866135,7,16573,1,14,1,0,36,Auvergne-Rhone-Alpes,1.999912
4049.804363,16,4049,1,6,0,0,35,Auvergne-Rhone-Alpes,0.999801
1111.838001,9,1111,0,5,1,0,33,Auvergne-Rhone-Alpes,0.999246
3948.985929,14,7897,1,2,0,0,31,Auvergne-Rhone-Alpes,1.999754
510.575317,9,510,0,4,0,0,24,Auvergne-Rhone-Alpes,0.998873
901.307314,11,1802,0,1,0,0,19,Auvergne-Rhone-Alpes,1.999318
2377.821134,12,2377,1,1,1,0,18,Auvergne-Rhone-Alpes,0.999655
1554.311613,6,3108,1,1,0,0,18,Auvergne-Rhone-Alpes,1.999599
1717.223356,12,1717,1,59,1,0,91,Provence-Alpes-Cote-d-Azur,0.99987
415.932,10,415,0,61,0,0,86,Provence-Alpes-Cote-d-Azur,0.997759
4136.131421,14,8272,1,59,1,0,81,Provence-Alpes-Cote-d-Azur,1.999936
651.347003,16,1302,0,57,0,1,80,Provence-Alpes-Cote-d-Azur,1.998935
1767.959745,10,3535,1,49,1,0,78,Provence-Alpes-Cote-d-Azur,1.99948
3434.218025,7,6868,1,48,1,0,77,Provence-Alpes-Cote-d-Azur,1.999873
1577.166754,17,1577,1,56,1,0,76,Provence-Alpes-Cote-d-Azur,0.999894
4362.453301,16,4362,1,47,1,0,73,Provence-Alpes-Cote-d-Azur,0.999896
961.510735,10,1923,0,39,0,0,71,Provence-Alpes-Cote-d-Azur,1.999978
1025.454173,13,2050,0,42,1,1,67,Provence-Alpes-Cote-d-Azur,1.999114
2084.115533,14,4168,1,44,1,0,64,Provence-Alpes-Cote-d-Azur,1.999889
1979.642307,15,1979,1,40,1,0,64,Provence-Alpes-Cote-d-Azur,0.999676
5491.74859,10,5491,1,29,1,0,61,Provence-Alpes-Cote-d-Azur,0.999864
1557.133522,7,3114,1,34,1,0,59,Provence-Alpes-Cote-d-Azur,1.999829
634.41259,16,1268,0,27,1,0,55,Provence-Alpes-Cote-d-Azur,1.998699
619.601783,14,1239,0,35,0,0,55,Provence-Alpes-Cote-d-Azur,1.999671
2200.136126,10,2200,1,31,1,0,50,Provence-Alpes-Cote-d-Azur,0.999938
949.588062,11,949,0,25,0,1,49,Provence-Alpes-Cote-d-Azur,0.999381
565.358319,14,1130,0,17,0,0,48,Provence-Alpes-Cote-d-Azur,1.998732
2057.265621,16,4114,1,27,1,0,48,Provence-Alpes-Cote-d-Azur,1.999742
909.548932,9,909,0,26,0,0,45,Provence-Alpes-Cote-d-Azur,0.999396
1111.629656,13,2223,0,16,1,1,45,Provence-Alpes-Cote-d-Azur,1.999767
1500.54252,13,3001,1,8,0,0,39,Provence-Alpes-Cote-d-Azur,1.999943
1284.571021,9,2569,0,10,1,0,39,Provence-Alpes-Cote-d-Azur,1.999889
1338.261853,17,2676,0,20,1,1,39,Provence-Alpes-Cote-d-Azur,1.999609
846.498552,6,1692,0,20,0,0,39,Provence-Alpes-Cote-d-Azur,1.998822
1375.695267,8,2751,0,12,1,1,38,Provence-Alpes-Cote-d-Azur,1.999716
630.162031,7,1260,0,4,0,0,36,Provence-Alpes-Cote-d-Azur,1.999486
1336.951762,9,1336,0,5,0,0,35,Provence-Alpes-Cote-d-Azur,0.999288
2695.006392,14,2695,1,8,1,0,34,Provence-Alpes-Cote-d-Azur,0.999998
1569.337245,7,1569,1,1,0,0,31,Provence-Alpes-Cote-d-Azur,0.999785
576.535798,6,576,0,1,1,0,31,Provence-Alpes-Cote-d-Azur,0.999071
3477.330561,14,6954,1,9,0,0,28,Provence-Alpes-Cote-d-Azur,1.99981
4641.800035,13,4641,1,1,0,0,24,Provence-Alpes-Cote-d-Azur,0.999828
847.658924,16,847,0,3,1,0,24,Provence-Alpes-Cote-d-Azur,0.999223
3971.599872,17,7943,1,1,0,1,20,Provence-Alpes-Cote-d-Azur,1.99995
890.894261,12,890,0,1,1,0,20,Provence-Alpes-Cote-d-Azur,0.998996
2274.0549,9,4548,1,1,0,0,19,Provence-Alpes-Cote-d-Azur,1.999952
743.221255,12,1486,0,1,0,0,18,Provence-Alpes-Cote-d-Azur,1.999405
2072.571514,13,4145,1,70,1,0,90,Provence-Alpes-Cote-d-Azur,1.999931
1966.186695,12,3932,1,71,1,1,90,Provence-Alpes-Cote-d-Azur,1.99981
1055.910599,11,2111,0,63,1,0,88,Provence-Alpes-Cote-d-Azur,1.999222
1293.231303,14,2586,0,56,1,0,87,Provence-Alpes-Cote-d-Azur,1.999642
1212.338997,16,1212,0,66,1,0,86,Provence-Alpes-Cote-d-Azur,0.99972
3466.3604,14,6932,1,63,1,0,84,Provence-Alpes-Cote-d-Azur,1.999792
1133.93461,7,2267,0,58,1,0,80,Provence-Alpes-Cote-d-Azur,1.999233
725.809298,8,1451,0,47,1,0,79,Provence-Alpes-Cote-d-Azur,1.999148
598.020216,14,1196,0,57,0,0,79,Provence-Alpes-Cote-d-Azur,1.999932
1273.831013,11,1273,0,47,1,0,75,Provence-Alpes-Cote-d-Azur,0.999348
1046.214382,9,2092,0,53,1,0,75,Provence-Alpes-Cote-d-Azur,1.99959
743.750882,8,743,0,43,0,0,74,Provence-Alpes-Cote-d-Azur,0.99899
472.663006,13,945,0,39,1,0,73,Provence-Alpes-Cote-d-Azur,1.99931
1220.587102,17,2441,0,51,1,0,73,Provence-Alpes-Cote-d-Azur,1.999857
2625.777783,9,5251,1,41,1,0,72,Provence-Alpes-Cote-d-Azur,1.999788
578.71453,18,1157,0,50,1,1,72,Provence-Alpes-Cote-d-Azur,1.999259
2007.031551,18,2007,1,28,1,1,59,Provence-Alpes-Cote-d-Azur,0.999984
652.600156,9,652,0,38,0,0,59,Provence-Alpes-Cote-d-Azur,0.99908
1505.270029,13,3010,1,19,1,0,53,Provence-Alpes-Cote-d-Azur,1.999641
2592.92057,13,5185,1,32,1,0,52,Provence-Alpes-Cote-d-Azur,1.999676
753.915476,17,1507,0,23,0,0,49,Provence-Alpes-Cote-d-Azur,1.998898
945.134712,11,945,0,17,1,0,45,Provence-Alpes-Cote-d-Azur,0.999857
8398.44137,7,16796,1,16,1,1,44,Provence-Alpes-Cote-d-Azur,1.999895
1456.817099,15,1456,1,9,1,0,37,Provence-Alpes-Cote-d-Azur,0.999439
823.81563,14,823,0,9,1,1,33,Provence-Alpes-Cote-d-Azur,0.99901
5204.735157,16,5204,1,3,1,0,32,Provence-Alpes-Cote-d-Azur,0.999859
573.811831,14,1147,0,4,1,1,30,Provence-Alpes-Cote-d-Azur,1.998913
3963.669332,6,7927,1,9,1,1,29,Provence-Alpes-Cote-d-Azur,1.999915
1451.992405,7,1451,1,1,0,0,29,Provence-Alpes-Cote-d-Azur,0.999317
2973.043866,17,5946,1,1,0,0,27,Provence-Alpes-Cote-d-Azur,1.99997
5449.236489,10,5449,1,6,0,0,26,Provence-Alpes-Cote-d-Azur,0.999957
1563.626212,15,1563,1,57,1,1,91,Provence-Alpes-Cote-d-Azur,0.9996
1083.551773,13,1083,0,56,1,0,90,Provence-Alpes-Cote-d-Azur,0.999491
1573.347656,11,1573,1,59,1,0,90,Provence-Alpes-Cote-d-Azur,0.999779
1853.37015,7,1853,1,57,1,0,88,Provence-Alpes-Cote-d-Azur,0.9998
3038.541929,10,3038,1,57,1,0,88,Provence-Alpes-Cote-d-Azur,0.999822
415.993955,11,831,0,58,1,0,88,Provence-Alpes-Cote-d-Azur,1.997625
1115.549672,13,1115,0,59,1,0,86,Provence-Alpes-Cote-d-Azur,0.999507
1158.725724,12,1158,0,63,1,1,84,Provence-Alpes-Cote-d-Azur,0.999374
636.455132,9,1272,0,54,0,1,83,Provence-Alpes-Cote-d-Azur,1.99857
1944.33662,11,1944,1,54,1,0,81,Provence-Alpes-Cote-d-Azur,0.999827
6329.234912,12,6329,1,58,1,0,78,Provence-Alpes-Cote-d-Azur,0.999963
642.151343,16,642,0,51,1,0,71,Provence-Alpes-Cote-d-Azur,0.999764
1972.008128,12,3944,1,40,1,1,68,Provence-Alpes-Cote-d-Azur,1.999992
4864.804971,7,9729,1,36,1,0,65,Provence-Alpes-Cote-d-Azur,1.999875
535.673026,17,535,0,39,0,0,64,Provence-Alpes-Cote-d-Azur,0.998744
499.41304,9,499,0,35,0,0,60,Provence-Alpes-Cote-d-Azur,0.999173
427.188475,10,854,0,32,1,0,60,Provence-Alpes-Cote-d-Azur,1.999118
5690.094915,10,11380,1,36,1,1,58,Provence-Alpes-Cote-d-Azur,1.999967
909.310213,10,909,0,24,0,0,55,Provence-Alpes-Cote-d-Azur,0.999659
1823.728306,15,1823,1,24,1,0,54,Provence-Alpes-Cote-d-Azur,0.999601
4725.121307,10,4725,1,22,1,0,53,Provence-Alpes-Cote-d-Azur,0.999974
5601.855974,13,11203,1,23,1,0,48,Provence-Alpes-Cote-d-Azur,1.999873
688.549504,14,688,0,19,0,0,47,Provence-Alpes-Cote-d-Azur,0.999202
1548.496822,11,3096,1,17,1,0,41,Provence-Alpes-Cote-d-Azur,1.999358
2972.311897,15,5944,1,15,1,0,37,Provence-Alpes-Cote-d-Azur,1.99979
2475.815107,14,4951,1,17,1,0,37,Provence-Alpes-Cote-d-Azur,1.999745
1051.359057,11,1051,0,17,1,0,36,Provence-Alpes-Cote-d-Azur,0.999658
462.468569,13,924,0,15,0,1,36,Provence-Alpes-Cote-d-Azur,1.997974
443.243559,7,886,0,9,1,0,33,Provence-Alpes-Cote-d-Azur,1.998901
1110.166955,6,1110,0,1,0,0,30,Provence-Alpes-Cote-d-Azur,0.99985
438.247554,10,876,0,5,0,0,28,Provence-Alpes-Cote-d-Azur,1.99887
837.951108,16,837,0,1,0,0,27,Provence-Alpes-Cote-d-Azur,0.998865
1556.095666,13,1556,1,1,1,0,26,Provence-Alpes-Cote-d-Azur,0.999939
1912.990195,17,3825,1,1,0,1,23,Provence-Alpes-Cote-d-Azur,1.999488
4623.985217,7,9247,1,1,0,0,22,Provence-Alpes-Cote-d-Azur,1.99979
1015.927682,10,2031,0,1,0,0,21,Provence-Alpes-Cote-d-Azur,1.999158
635.844849,11,635,0,1,0,0,19,Provence-Alpes-Cote-d-Azur,0.998671
729.25763,14,1458,0,64,0,1,92,Auvergne-Rhone-Alpes,1.999293
1450.408378,15,1450,1,57,1,0,89,Auvergne-Rhone-Alpes,0.999718
1083.009051,17,1083,0,66,1,0,88,Auvergne-Rhone-Alpes,0.999992
4425.823997,7,4425,1,57,1,0,83,Auvergne-Rhone-Alpes,0.999814
1389.540079,13,1389,0,60,1,0,81,Auvergne-Rhone-Alpes,0.999611
3218.516571,18,3218,1,61,1,0,80,Auvergne-Rhone-Alpes,0.99984
1008.083334,11,1008,0,56,1,0,76,Auvergne-Rhone-Alpes,0.999917
3381.770176,16,6763,1,49,1,0,73,Auvergne-Rhone-Alpes,1.99984
503.664559,14,1007,0,27,0,0,59,Auvergne-Rhone-Alpes,1.999347
1106.968689,12,2213,0,40,1,0,59,Auvergne-Rhone-Alpes,1.999153
1128.516438,13,1128,0,32,1,0,59,Auvergne-Rhone-Alpes,0.999542
1924.636034,14,1924,1,32,1,1,53,Auvergne-Rhone-Alpes,0.99967
1077.241985,13,1077,0,25,1,0,53,Auvergne-Rhone-Alpes,0.999775
686.257094,14,1372,0,30,0,0,51,Auvergne-Rhone-Alpes,1.999251
1390.131264,14,2780,0,27,1,0,50,Auvergne-Rhone-Alpes,1.999811
2427.2153,12,2427,1,17,1,0,50,Auvergne-Rhone-Alpes,0.999911
1182.494047,16,1182,0,20,1,0,47,Auvergne-Rhone-Alpes,0.999582
966.578257,8,1933,0,20,0,0,46,Auvergne-Rhone-Alpes,1.999838
804.515339,7,804,0,18,1,0,42,Auvergne-Rhone-Alpes,0.999359
737.500269,15,737,0,15,1,0,41,Auvergne-Rhone-Alpes,0.999322
2203.265392,10,2203,1,17,1,0,37,Auvergne-Rhone-Alpes,0.99988
5480.999477,6,5480,1,8,1,0,34,Auvergne-Rhone-Alpes,0.999818
2671.152651,8,5342,1,4,1,0,33,Auvergne-Rhone-Alpes,1.999886
807.071956,17,807,0,1,0,0,33,Auvergne-Rhone-Alpes,0.999911
2870.261639,14,5740,1,1,1,0,33,Auvergne-Rhone-Alpes,1.999818
733.561443,9,733,0,1,0,1,24,Auvergne-Rhone-Alpes,0.999235
533.292393,18,533,0,1,1,0,23,Auvergne-Rhone-Alpes,0.999452
1148.220221,18,1148,0,62,1,0,92,Grand-Est,0.999808
1661.188663,12,1661,1,65,1,0,92,Grand-Est,0.999886
3339.21753,10,3339,1,58,1,0,92,Grand-Est,0.999935
575.888235,12,1151,0,66,0,0,91,Grand-Est,1.998652
933.309928,18,1866,0,62,0,0,90,Grand-Est,1.999336
2746.559268,13,5493,1,62,1,0,82,Grand-Est,1.999957
409.8289,15,819,0,52,0,1,78,Grand-Est,1.998395
1776.093905,7,1776,1,57,1,0,77,Grand-Est,0.999947
2317.249393,8,4634,1,47,1,0,76,Grand-Est,1.999785
1976.233956,7,1976,1,42,1,0,74,Grand-Est,0.999882
2833.916514,17,5667,1,52,1,0,74,Grand-Est,1.999706
1404.59048,9,2809,1,43,1,0,71,Grand-Est,1.999871
512.736806,13,1025,0,30,0,0,61,Grand-Est,1.999076
3231.406919,6,6462,1,27,1,0,61,Grand-Est,1.999748
719.445808,15,719,0,36,1,0,61,Grand-Est,0.99938
1220.014417,14,1220,0,41,1,0,61,Grand-Est,0.999988
926.280412,13,926,0,39,0,0,58,Grand-Est,0.999697
2506.255712,12,2506,1,27,1,0,57,Grand-Est,0.999898
593.550119,8,1187,0,20,0,1,52,Grand-Est,1.999831
491.589685,8,983,0,21,0,0,52,Grand-Est,1.999635
705.522886,11,1411,0,25,0,0,51,Grand-Est,1.999935
418.216832,18,418,0,19,0,0,48,Grand-Est,0.999482
1088.672167,6,1088,0,25,1,0,48,Grand-Est,0.999383
1884.451249,17,3768,1,15,1,0,43,Grand-Est,1.999521
3777.95965,12,3777,1,13,1,0,43,Grand-Est,0.999746
637.330496,10,1274,0,12,0,0,41,Grand-Est,1.998963
1663.721871,10,1663,1,16,1,0,40,Grand-Est,0.999566
2026.693987,8,4053,1,13,1,1,40,Grand-Est,1.999809
489.759187,14,979,0,19,1,0,39,Grand-Est,1.998942
5447.954892,8,5447,1,16,1,0,38,Grand-Est,0.999825
661.473291,11,1322,0,14,0,0,37,Grand-Est,1.998569
3484.088633,7,6968,1,16,1,0,36,Grand-Est,1.999949
1149.038577,7,1149,0,1,1,0,32,Grand-Est,0.999966
501.312426,11,501,0,11,1,1,32,Grand-Est,0.999377
3654.812008,17,3654,1,2,0,1,31,Grand-Est,0.999778
464.668924,16,929,0,1,1,0,28,Grand-Est,1.999273
1162.549287,13,2325,0,1,1,0,26,Grand-Est,1.999915
447.180345,9,447,0,1,0,0,23,Grand-Est,0.999597
2071.269406,14,2071,1,1,1,0,21,Grand-Est,0.99987
3022.237679,14,6044,1,1,0,0,20,Grand-Est,1.999843
960.257802,6,960,0,1,0,0,19,Grand-Est,0.999732
1592.397094,11,3184,1,1,0,0,19,Grand-Est,1.999501
457.970235,13,457,0,1,0,0,18,Grand-Est,0.997881
2209.473252,15,2209,1,1,1,0,18,Grand-Est,0.999786
2355.641296,8,2355,1,1,1,0,18,Grand-Est,0.999728
685.712226,6,685,0,62,0,0,92,Occitanie,0.998961
971.593962,18,971,0,59,1,0,87,Occitanie,0.999389
4653.905117,10,4653,1,54,1,0,86,Occitanie,0.999806
497.086576,18,497,0,63,1,1,85,Occitanie,0.999826
1480.381852,11,1480,1,51,1,0,85,Occitanie,0.999742
598.958029,9,598,0,54,0,1,83,Occitanie,0.998401
838.080375,10,838,0,56,0,0,81,Occitanie,0.999904
735.891987,8,1471,0,45,1,0,78,Occitanie,1.998935
2717.303618,13,2717,1,54,1,1,75,Occitanie,0.999888
2655.496918,13,5310,1,53,1,1,72,Occitanie,1.999626
688.026804,14,688,0,47,1,0,68,Occitanie,0.999961
637.926024,10,637,0,36,1,0,63,Occitanie,0.998548
2261.701537,8,2261,1,32,1,0,63,Occitanie,0.99969
806.937447,7,806,0,28,0,0,60,Occitanie,0.998838
1740.822602,17,1740,1,26,1,0,60,Occitanie,0.999527
2845.005852,10,2845,1,39,1,0,60,Occitanie,0.999998
1544.515754,16,3089,1,28,1,0,52,Occitanie,1.99998
962.139007,8,962,0,22,0,0,52,Occitanie,0.999856
1707.592289,10,3415,1,16,1,0,42,Occitanie,1.999892
